Id,PM2.5
0,4.85
2,4.6339999999999995
12,4.75
15,11.14
17,14.72
18,13.24
27,8.03
30,9.59
32,5.62
34,13.55
35,29.06
45,87.23
49,116.52799999999999
61,105.58
63,44.01
69,94.43
82,11.08
84,9.46
91,65.66
97,134.14
112,205.18
113,192.45
122,177.71
129,193.62
132,180.05
134,202.97
135,290.33
136,329.97
139,303.08
143,247.45
144,246.25
148,292.24
151,211.6
152,233.13
158,113.68
161,351.28
164,349.75
168,281.15
172,144.18
173,179.57
175,450.84
187,117.33
190,147.32
193,116.06
197,47.76
199,29.1
205,14.49
210,13.63
211,27.19
216,49.51
225,54.58
226,64.46
231,111.3
234,98.88
246,96.43
247,117.17
250,162.56
254,109.32
256,132.68
257,128.08
261,102.27
266,88.39
276,30.96
287,19.82
293,6.655
302,80.6
303,68.08
307,69.55
313,94.2
332,150.01
333,122.83
335,156.99
344,247.68
349,332.06
354,260.79
360,201.46
363,141.14
364,139.64
367,191.9
391,329.54
394,370.39
399,284.57
401,42.32
403,38.09
405,4.25
406,8.58
411,10.41
413,13.19
420,42.46
422,36.9
423,37.21
428,45.22
431,40.28
433,37.19
438,57.51
444,20.57
448,23.31
456,48.25
462,92.46
464,83.3
468,70.62
480,193.42
482,182.4
484,190.77
491,115.89
492,53.92
499,91.2
503,72.62
506,71.89
511,71.74
514,106.53
516,117.95
518,109.68
533,212.64
536,216.05
545,114.85
552,21.29
554,14.72
558,13.67
572,28.0
580,141.15
599,102.63
611,81.25
621,87.61
626,78.32
627,65.56
637,121.45
638,137.27
640,152.05
648,180.71
649,176.5
653,205.38
654,222.51
657,223.42
659,197.62
661,59.07
663,17.13
665,48.94
667,40.9
673,12.7
676,6.063333333333333
688,120.92
691,127.03
694,149.99
695,122.6
699,143.73
700,161.14
705,180.56
710,136.16
721,41.75
722,47.738
725,66.03
739,167.44
758,77.53
767,3.84
771,5.46
772,3.956666666666667
775,4.3
777,3.73
780,15.81
781,17.71
799,63.44
800,94.09
806,74.32
815,106.61
824,37.27
832,16.85
833,24.88
835,42.07
843,25.36
848,15.03
850,11.23
858,14.39
861,11.41
864,12.52
867,14.62
883,9.15
885,16.47
886,16.2
890,40.004
905,10.87
916,61.21
917,61.19
938,98.19
939,116.09
941,143.36
947,107.81
953,23.61
963,52.77
966,21.05
984,100.72
990,84.33
999,195.19
1002,106.5
1007,76.328
1011,123.14
1014,74.0
1019,101.35
1020,92.29
1022,45.86
1026,46.15
1033,61.65
1035,48.94
1036,51.86
1042,52.71
1046,19.91
1057,10.06
